"my_id","follower_id","status"
"3","6","1"
"6","3","1"
"3","2","1"
"3","7","1"
"7","2","1"
"7","3","1"
"9","2","1"
"9","3","1"
"9","7","1"
"8","9","1"
"4","9","1"
"3","9","1"
"1","7","1"
"1","3","1"
"4","2","1"
"4","1","1"
"3","2","1"
"3","1","1"
"11","7","1"
"7","11","1"
"17","7","1"
"20","7","1"
"20","3","1"
"20","9","1"
"23","7","1"
"25","7","1"
"26","7","1"
"28","7","1"
"39","7","1"
"3","20","1"
"3","1","1"
"3","2","1"
"3","2","1"
"8","7","1"
"220","86","1"
"86","220","1"
"189","86","1"
"189","220","1"
"287","3","1"
"208","3","1"
"120","3","1"
"142","3","1"
"76","3","1"
"121","3","1"
"92","3","1"
"121","7","1"
"191","3","1"
"46","3","1"
"282","120","1"
"160","76","1"
"89","4","1"
"4","76","1"
"259","251","1"
"142","251","1"
"4","160","1"
"4","251","1"
"120","142","1"
"200","3","1"
"4","120","1"
"259","142","1"
"56","251","1"
"148","142","1"
"4","142","1"
"160","251","1"
"299","47","1"
"112","251","1"
"160","142","1"
"259","47","1"
"160","47","1"
"142","120","1"
"111","299","1"
"142","259","1"
"142","148","1"
"120","282","1"
"142","4","1"
"238","150","1"
"120","4","1"
"340","150","1"
"111","150","1"
"142","160","1"
"142","55","1"
"55","148","1"
"148","47","1"
"170","3","1"
"148","325","1"
"148","325","1"
"354","3","1"
"160","74","1"
"160","4","1"
"164","3","1"
"55","142","1"
"196","136","1"
"306","3","1"
"150","111","1"
"150","238","1"
"118","3","1"
"191","7","1"
"164","2","1"
"316","3","1"
"164","7","1"
"164","6","1"
"164","9","1"
"164","4","1"
"164","1","1"
"164","20","1"
"164","191","1"
"215","142","1"
"164","121","1"
"164","76","1"
"215","329","1"
"118","142","1"
"325","74","1"
"329","215","1"
"305","136","1"
"343","142","1"
"219","89","1"
"343","329","1"
"325","148","1"
"343","74","1"
"219","370","1"
"329","343","1"
"337","150","1"
"219","218","1"
"266","251","1"
"115","74","1"
"219","136","1"
"364","219","1"
"15","329","1"
"219","130","1"
"15","74","1"
"115","325","1"
"311","131","1"
"160","131","1"
"115","329","1"
"267","131","1"
"158","219","1"
"311","219","1"
"330","3","1"
"120","330","1"
"118","281","1"
"384","142","1"
"384","322","1"
"337","158","1"
"384","74","1"
"306","266","1"
"306","47","1"
"107","3","1"
"150","337","1"
"310","56","1"
"306","74","1"
"400","158","1"
"148","322","1"
"306","142","1"
"148","56","1"
"306","56","1"
"115","330","1"
"148","111","1"
"350","337","1"
"148","74","1"
"400","287","1"
"148","3","1"
"57","3","1"
"110","281","1"
"110","74","1"
"158","400","1"
"110","142","1"
"158","337","1"
"400","337","1"
"337","350","1"
"92","7","1"
"161","110","1"
"363","3","1"
"329","15","1"
"57","299","1"
"57","188","1"
"333","287","1"
"281","110","1"
"148","266","1"
"287","333","1"
"330","161","1"
"287","7","1"
"308","47","1"
"287","2","1"
"287","11","1"
"386","111","1"
"306","81","1"
"386","74","1"
"306","148","1"
"148","362","1"
"287","362","1"
"386","57","1"
"386","281","1"
"362","287","1"
"362","148","1"
"255","3","1"
"299","57","1"
"337","400","1"
"299","111","1"
"386","56","1"
"49","362","1"
"386","142","1"
"148","55","1"
"148","306","1"
"342","267","1"
"267","56","1"
"294","308","1"
"410","417","1"
"209","361","1"
"267","74","1"
"361","74","1"
"342","131","1"
"209","362","1"
"410","362","1"
"342","74","1"
"361","330","1"
"410","386","1"
"407","142","1"
"209","417","1"
"267","281","1"
"359","209","1"
"267","342","1"
"337","47","1"
"330","120","1"
"411","3","1"
"337","148","1"
"410","407","1"
"407","160","1"
"410","297","1"
"337","209","1"
"359","361","1"
"342","281","1"
"407","410","1"
"362","49","1"
"407","251","1"
"428","251","1"
"407","56","1"
"400","350","1"
"294","183","1"
"428","56","1"
"400","148","1"
"454","294","1"
