id,user_id,title,content,tags,slug,created_at,updated_at,image,status_id,action,post_id
1,2077,What i have learnt so far on HTML,I learnt how to use the table tag as i have used it to create a presentable CV![](/storage/2077/images/img-h7ohbxmte5.png),,what-i-have-learnt-so-far-on-html-985,8/25/2019 20:39,8/28/2019 12:30,1,,,
2,1719,HTML BEGINS HERE," I am on this journey with start.ng, and here is my first HTML task. It has been a tough week combining training at my workplace in the day, and following start.ng at night. As tough as it is, I seem to be enjoying this.

  

VScode is a very good text editor for writing code, and it is just at home for HTML. For anyone who wants to learn HTML, her is the template.

  

<!Doctype html>

<html lang = ""en"">

<head>

<meta charset = ""utf-8"">

<title> whatever the title of your page is </title>

</head>

<body>

<!-- Fill me up -->

</body>

</html>

  

The doctype tells the browser, that this is an HTML document

The lang is used to determine the language you want it rendered in

The tags in the head are not displayed in the browser with the exception of the title which is displayed on the tab, to show the title of the page. The charset, is the character encoding, the universal is UTF-8.

  

The body is where everything to be displayed on the page appears.

  

Also note that there are open tags <>, and they need to be closed </>. Meta tags that don't have opening and close that, are called empty tags e.g meta tags <br>, <hr>.

  

On my CV, I used some extra elements, and attributes like anchor tag <a>, href for links and tables.

  

To cut the story short, check out my the source code for my CV using plain HTML

  

![](/storage/1719/images/img-i9mbkw2hsq.png)",Technology,html-begins-here-4d6,8/25/2019 20:44,8/28/2019 12:30,1,,,
3,1310,My Laziness In The Open,"I have not been attending classes on the HNG class on slack. It's crazy! And I'm crazy right?. Anyways, I've had my GitHub account for some time now without knowing how to use it or what to do with it. The second task we were given gave me a little insight on the use of GitHub.

  

![](/storage/1310/images/img-ju1cquvrco.png)

![](/storage/1310/images/img-79nb03p1jd.png)

lazylearner #tech #repo #github #hng #startng
=============================================",,my-laziness-in-the-open-029,8/25/2019 20:50,8/28/2019 12:30,1,,,
4,1787,MY TASK 2,"My journey on **StartNG** pre-internship program has been a bit challenging so far, having a very busy schedule to deal with. Basically, the task2 has given me more insight into HTML than the knowledge I had before now, the task2 has finally made sense of all those letters writing in tags and element I had been reading and studying about, having to write my own resume has made it more interesting I feel like a genius already staring my resume.

![](/storage/emmanuel.ulaka16/images/img-0u6xbj6asn.png)![](/storage/emmanuel.ulaka16/images/img-80zcy11wm6.png). Task2 has been key a first proper understanding of what HTML is all about, I can't wait to do more amazing thing with HTML thanks to StartNG",,my-task-2-649,8/25/2019 20:51,8/28/2019 12:30,1,,,
5,167,Task 2," A Summary on The “idongesit.html” CV, Its Structure and Tags. 

  

A HTML page is built using tags so first I need to explain what a tag is. A tag is a command in a web page that tells the browser to do something. Tags are enclosed in less than (<) and greater than (>) signs. 

 For example, <title> - this marks the beginning of the tag while </title> which comes with a backslash marks the end of the tag. Any tag can be ended with a backslash.

 The first thing is the DOCTYPE declaration of the document.

  

   <html lang=""en"">

  

  All this is doing is saying that this is the start of a HTML document.             Additionally, it specifies the language of the document, which is English.

  <head>

   <meta charset=""UTF-8"">

  

    Declaration of the character encoding: UTF-8

  

   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">

   <meta http-equiv=""X-UA-Compatible"" content=""ie=edge"">

   <title>This shows the page title and can be seen on a browser window.  </title>

   Marks the start of the part of a HTML document called the head. This section is not visible on the webpage but it carries important information about the document.

  </head>

  <body>

    This represents the content of the document. 

  </body>

 </html> - This tag ends every HTML document.

  

In the idongesit.html document, the image was called from Cloudinary, a cloud based image and video management solution. 

The div tag is used to mark a group of consecutive elements. 

The p tag represents a paragraph. The small element represents small prints.

The hr element represents a paragraph-level break.

The br element represents a line break.

The mark element represents a run of text in one document marked or highlighted for reference purposes.

The strong element represents strong importance for its content. 

  

My Portfolio Screenshots

  

![](/storage/167/images/img-6rxa8iuad0.png)

  

  

![](/storage/167/images/img-z4c94u9opo.png)

  

![](/storage/167/images/img-6a7hflya3v.png)",,task-2-7e5,8/25/2019 20:51,8/28/2019 12:30,1,,,
6,329,My Journey on HTML,"Using the Hyper Text Markup Language (HTML) has been super cool with HNG.

I have learnt to arrange elements into header, body and footer elements.

I learnt to define structures using headings (h1 to h6), paragraphs(p) when needed. I learnt the use of tags; opening, closing and self closing tags.

I learnt to use hyperlinks in attribute.

I also learnt to use tables; table structures(head, body, footer), table rows(tr), table data(td).

I learnt to list items using unordered list(ul) and ordered list(ol). I used unordered list in my HTML page too. I used the strong, emphasized text and bold tags respectively. I enjoyed every bit of it.![](/storage/329/images/img-pl9l04lioy.png)",,my-journey-on-html-ce5,8/25/2019 20:54,8/28/2019 12:30,1,,,
7,2040,StartNG HTML Exposition,"![](/storage/2040/images/img-kf6sy3kvg0.png)![](/storage/2040/images/img-49h9sz391i.png)![](/storage/2040/images/img-gz9gqs5ib2.png)![](/storage/2040/images/img-if5y3gilwe.png)

I have learned a lot about HTML in my short period with the class on slack. HTMl being the backbone of every website is very essential to know before moving on to other technologies in web development.

We learned a lot about HTML, enough for me to make a simple CV document using just HTML. I utilised different tags we learned about in the classes. Tags such as: Header tags, Paragraph tags, Div tags, List tags (both ordered and unordered tags) were used to accomplish this simple web page.

This project has helped me to understand how each tag is interpreted by the browser; how the paragraph tag is given more space than the small tag and so forth. I also made sure I divided each section of the CV into div sections in the HTML code to give it easy readability.

Here is cheers to learning more and doing more.

I remain,

Yours in insight,

**Oluwadara, OLOYE.**",,startng-html-exposition-4d5,8/25/2019 20:55,8/28/2019 12:30,1,,,
8,1787,MY TASK 2,"My journey on **StartNG** pre-internship program has been a bit challenging so far, having a very busy schedule to deal with. Basically, the task2 has given me more insight into HTML than the knowledge I had before now, the task2 has finally made sense of all those letters writing in tags and element I had been reading and studying about, having to write my own resume has made it more interesting I feel like a genius already staring my resume. ![](/storage/1787/images/img-5cxmp8fxxu.png). Task2 has been key a first proper understanding of what HTML is all about, I can't wait to do more amazing thing with HTML thanks to StartNG",html,my-task-2-649,8/25/2019 20:57,8/28/2019 12:30,1,,,
9,2040,StartNG HTML task,"<p> </p>
<p>I have learned a lot about HTML and CSS in this short period of time. Part of what we were taught I applied to make this simple HTML page of my Curriculum Vitae (CV). The page is created without CSS or Javascript, as we were instructed...",,startng-html-task-8e2,8/25/2019 21:01,8/28/2019 12:30,daraoloye99/images/img-gpzb56s7g1.png,,,
10,2040,On StartNG Pre-Internship,"**What I have learned so far**

I have learned a few things in the short period I've been around the community. I have picked up a few things from the pop quizzes that have been put out by the mentors...","StartNG pre-internship, Developer, Engineering, Web development",on-startng-pre-internship-645,8/25/2019 21:01,8/28/2019 12:30,,,,
